gene,half_life_hr,decay_rate,p_val,geneSymbol
Stc2,2.25714336369147,-1.18061293597952,0.333967884225397,Stc2
Asb3,3.4210755342229,-1.59646790590745,0.377125959000926,Asb3
Cdc34,9.48571942041502,-2.6163003693174,0.568453449449921,Cdc34
Tpgs1,2.84769854696564,-1.41302406125588,0.338885337786008,Tpgs1
Chac2,6.87844890094567,-2.2949060966652,0.0583019260713612,Chac2
Madcam1,1.32933315304135,-0.651190348387269,0.137057138875252,Madcam1
Erlec1,10.2247501241868,-2.69132418447958,0.601554928805266,Erlec1
Sptbn1,5.81573804555758,-2.12708061948863,0.498308235946295,Sptbn1
Fstl3,1.88063381578925,-0.998121776664041,0.264720298770495,Fstl3
Ccng1,5.059029170095,-1.98768752185527,0.326408252220681,Ccng1
Fgf22,2.64094187689294,-1.33764854566241,0.425770861173433,Fgf22
Nudcd2,8.12749604658794,-2.46176580735335,0.498992590117581,Nudcd2
Polrmt,3.95893344060792,-1.74248757639154,0.330629545175574,Polrmt
Hmmr,9.44552295569262,-2.6120537885246,0.536303400829946,Hmmr
Hcn2,20.3358853070284,-3.37889999511457,0.619350868059427,Hcn2
Cyfip2,13.2468954916486,-2.95027614304369,0.654587707388194,Cyfip2
Mgat1,1.23438137393552,-0.577082853370281,0.00315649225162178,Mgat1
Ppp2ca,3.37057648964399,-1.58159671549221,0.316290683856133,Ppp2ca
Hnrnpab,171.426848534449,-5.51066955703622,0.928373296211344,Hnrnpab
Phykpl,18.8982732569552,-3.30558347640763,0.732533475046627,Phykpl
Hspa4,5.16998944424791,-2.00938356736837,0.305360305207735,Hspa4
Cnot6,12.4768104157719,-2.89038467519862,0.630146370749306,Cnot6
Mapk9,7.48268904606046,-2.3791051461005,0.565679408005869,Mapk9
Canx,7.18743327710745,-2.33884704347699,0.448176507576761,Canx
Rufy1,20.6272287825776,-3.39312490914969,0.756527800623575,Rufy1
Rnf130,16.8304347101963,-3.18970175793365,0.757014879970318,Rnf130
Ltc4s,1.63382371251494,-0.857436024121485,0.218823517574006,Ltc4s
Rad50,4.62457552579649,-1.89789750912801,0.391461483876776,Rad50
Mrnip,0.884772648346578,-0.244088359080766,0.00711762361807737,Mrnip
Clk4,1.57657381494149,-0.821766941525626,0.16766352528834,Clk4
Sar1b,7.39962699718006,-2.3679425137349,0.461839482130381,Sar1b
Jade2,1.72855658023534,-0.913799634145655,0.218447692021626,Jade2
Cdkl3,10.8561894730661,-2.75124829626573,0.791273549182757,Cdkl3
Ube2b,5.64081982343364,-2.0965423342929,0.394898899896177,Ube2b
Cdkn2aipnl,4.98328722076701,-1.97260267834965,0.358990010754192,Cdkn2aipnl
Kremen1,4.30171731542654,-1.82552723923253,0.454232411655606,Kremen1
Med7,1.45916278133844,-0.744375754384354,0.0705520236898313,Med7
Tnip1,2.68678569306373,-1.35485849007994,0.334402863421342,Tnip1
Slu7,3.14499545785776,-1.51232536649066,0.299419693056595,Slu7
Ascc2,20.6949715719472,-3.39640367211373,0.748746089835078,Ascc2
Hus1,3.62951522827262,-1.65561201400996,0.383202594294079,Hus1
Pttg1,5.20408842289284,-2.01595747241979,0.385228694679062,Pttg1
Tns3,3.22015567067362,-1.5359426238991,0.337979581028662,Tns3
Btg2,1.04138602365968,-0.407065461515851,0.0995686527394394,Btg2
Gatsl3,10.2798508632972,-2.69669867304208,0.770721931852289,Gatsl3
Pes1,22.3696434440817,-3.47421775693485,0.730555508969637,Pes1
Tcn2,2.84100305948218,-1.4106701003564,0.31489877647859,Tcn2
Myo1g,9.53640129301356,-2.62162911192083,0.483976248063541,Myo1g
Smtn,7.39214344112097,-2.36693065964633,0.625809780575665,Smtn
2310033P09Rik,8.80978249325756,-2.54237567160496,0.522605038243779,2310033P09Rik
Guk1,158.813706799368,-5.43424478052726,0.935622380287672,Guk1
Rnf185,3.02811625321617,-1.4744536481597,0.283581957123243,Rnf185
Limk2,3.40420243525142,-1.59152359933987,0.254270164715725,Limk2
Patz1,2.9633648487571,-1.45283831650895,0.243823230893347,Patz1
Eif4enif1,2.57330256714022,-1.31170304010424,0.312141046544324,Eif4enif1
Trim11,3.46726573821652,-1.60987923223203,0.378883740502921,Trim11
Ogdh,20.6184368326399,-3.3926985879865,0.719333918962068,Ogdh
Drg1,9.06892717752331,-2.57136689519054,0.493877675615647,Drg1
Rtn4,16.298845442375,-3.15760719412956,0.710705860792525,Rtn4
