Gene,half_life_hr,decay_rate,p_val,geneSymbol
Ajuba,2.420687387,-1.250564465,2.62E-06,Ajuba
Jun,2.583300467,-1.315580753,2.25E-10,Jun
Junb,1.835694573,-0.973935844,4.16E-08,Junb
Jund,2.768306797,-1.384748789,3.53E-09,Jund
Jup,3.794609836,-1.700094516,6.93E-11,Jup
Kcna1,3.099153269,-1.497641856,0.000267825,Kcna1
Kcna2,1.804205328,-0.956633154,0.000510451,Kcna2
Kcna6,1.388596463,-0.694806419,0.00163586,Kcna6
Kcna7,4.207784494,-1.803449181,0.000987478,Kcna7
Kcnab2,2.346443022,-1.219413495,1.51E-07,Kcnab2
Kcnab3,4.267805064,-1.817612579,2.53E-05,Kcnab3
Kcnc3,4.786087524,-1.932226197,6.34E-05,Kcnc3
Kcnd1,3.94230342,-1.738278097,0.009202015,Kcnd1
Kcnh1,2.83005776,-1.406810042,0.000159057,Kcnh1
Kcnh2,3.131903937,-1.508154027,0.000576475,Kcnh2
Kcnh3,1.700743193,-0.897578249,0.030768663,Kcnh3
Kcnj10,1.015197765,-0.381596356,0.033188844,Kcnj10
Kcnj12,2.212626859,-1.160693354,0.002206534,Kcnj12
Kcnj15,4.603815361,-1.893398307,0.000564728,Kcnj15
Kcnj4,2.322355399,-1.209094849,0.000141965,Kcnj4
Kcnj6,2.345437506,-1.218984875,0.00166007,Kcnj6
Kcnj9,3.166084052,-1.51900843,0.000857287,Kcnj9
Kcnk1,5.925954319,-2.145854661,0.00064647,Kcnk1
Kcnk2,5.188052804,-2.012871365,0.00018269,Kcnk2
Kcnk5,1.98042731,-1.049825555,7.27E-05,Kcnk5
Kcnk7,6.685429671,-2.266443403,1.09E-06,Kcnk7
Kcnn4,3.307626816,-1.562743879,0.000100484,Kcnn4
Kcnq1,2.202233182,-1.155984849,0.020469696,Kcnq1
Kcnq2,3.367176801,-1.580587569,5.29E-05,Kcnq2
Kcns1,3.818266003,-1.706309314,0.000932779,Kcns1
Napsa,2.513912886,-1.288353379,0.000117843,Napsa
Kdr,2.197796966,-1.1539684,4.42E-06,Kdr
Mdfic,2.61876752,-1.329216715,2.37E-05,Mdfic
Khk,4.832500425,-1.941876941,5.38E-07,Khk
Khsrp,2.595229505,-1.320187875,1.16E-05,Khsrp
Kif11,2.685112265,-1.35423546,0.000691003,Kif11
Kif13a,2.808797757,-1.399269468,8.70E-05,Kif13a
Kif13b,2.280465527,-1.190892521,0.000125509,Kif13b
Kif16b,3.175873312,-1.522095574,1.72E-05,Kif16b
