geneSymbol,half_life_hr,decay_rate,p_val
Fam160b1,1.423123068,-0.719366721,0.031671653
Atrnl1,14.44720503,-3.037013893,0.429367986
Slc23a3,4.838643061,-1.943147243,0.603489044
Eno4,13.76939993,-2.988961654,0.153444437
Ywhae,6.189492376,-2.189365997,0.118762776
Ywhag,2.141601915,-1.128067028,0.022408241
Ywhah,3.613660305,-1.651234114,0.045456647
Ywhaz,5.136907782,-2.00296422,0.09521766
Yy1,3.419394757,-1.595976484,0.041274506
Plagl1,5.146927363,-2.004912829,0.084228297
Tmem185b,0.570194732,0.19526442,0.041987692
Epb4.1l5,1.59749448,-0.834949372,0.144992903
Zap70,6.383049531,-2.220158887,0.339078871
Zfa-ps,0.393226818,0.566855768,0.32368331
Zfp1,1.115889055,-0.476164367,0.006696802
Rab3gap1,4.091974331,-1.775540496,0.054113596
Zranb3,33.92643634,-3.890707464,0.726040901
Lct,4.900964748,-1.955944994,0.241994631
Yod1,0.645858104,0.070662532,0.764238407
Dyrk3,0.416220916,0.510026191,0.002815246
Zbtb17,6.80965358,-2.28485417,0.152181638
Rab7l1,4.335248385,-1.833291827,0.029710796
Zfp101,1.096589375,-0.458717715,0.066716181
Ipo9,8.248970624,-2.47660134,0.159045735
Rnf103,0.757954842,-0.089381451,0.687634055
Zfp281,0.414066966,0.515214644,0.135343397
Zbtb41,1.746288612,-0.924005664,0.078145443
Zfp11,0.1656068,1.431626056,0.533348918
BC003331,7.642926987,-2.400293564,0.13286143
Smg7,2.00454304,-1.061929045,0.1092618
Lamc1,5.129699335,-2.001559969,0.097707202
Mkrn3,1.069160085,-0.433386293,0.138221963
Rasal2,1.67804637,-0.884143163,0.142338316
Dars2,7.818208732,-2.422968387,0.173776126
Klhl20,2.678401446,-1.351733062,0.031516346
Suco,0.567244046,0.200452732,0.525883898
Prrc2c,2.557366931,-1.305491107,0.072081684
Pcgf2,2.191288809,-1.151002789,0.336397366
Tiprl,15.84850568,-3.129588138,0.366304066
Rcsd1,2.034295866,-1.076662668,0.031378513
Zfp148,1.595763133,-0.833864996,0.05100611
Atf6,1.465161779,-0.748478586,0.203859503
Arhgap30,2.25369513,-1.17908407,0.03016103
Zbtb14,0.890630948,-0.250687783,0.371179149
Sf1,3.462488703,-1.608500529,0.028700565
AI607873,2.4548645,-1.264584487,0.17130843
Trim26,1.93943906,-1.028911708,0.038573378
Cnst,1.764465456,-0.934360707,0.100582485
Ahctf1,1.787079762,-0.94709579,0.031348387
Wdr26,4.584615548,-1.889219173,0.054721685
Zfp2,5.605143886,-2.090197648,0.177428713
Zfp207,5.784154857,-2.121635178,0.059644908
Zfand5,0.886730193,-0.246298399,0.09337911
Kctd3,0.858395779,-0.213822915,0.371674255
Vash2,1.469152747,-0.751198793,0.007488708
Mfsd7b,2.794264249,-1.394081754,0.037260239
Ppp2r5a,9.329436978,-2.599687588,0.154250086
Zfp239,28.5588917,-3.718481251,0.666573219
Lpgat1,8.092130925,-2.457405019,0.13320179
Hhat,3.827741692,-1.708787913,0.078553816
Sbspon,0.858270026,-0.213676407,0.424271349
Zpr1,3.332568331,-1.570256198,0.034400965
Zfp26,0.710967785,-0.025384761,0.920093284
Zfp27,0.722731982,-0.041796092,0.543440251
Zfp28,4.713955055,-1.917040191,0.132817789
Zscan2,0.166658685,1.425294443,0.213531327
Kcnq5,1.645028637,-0.864270713,0.04091431
Zfp35,1.005365304,-0.371863882,0.396118377
Zfp36,0.32270263,0.76451111,0.105567898
Zscan21,0.998540084,-0.365051937,0.179311599
Arhgef4,2.175291969,-1.143675815,0.189678271
Plekhb2,26.66332317,-3.649801877,0.580673344
Kansl3,2.591400679,-1.318711453,0.094010742
Zfp39,0.340414578,0.711078136,0.111817367
Zfp40,0.732878516,-0.055737595,0.81651422
Zfp41,2.065141643,-1.091711737,0.013250156
Zfp46,0.41405492,0.515243736,0.120224067
Slc39a10,14.82093709,-3.06255377,0.49196727
Zfp51,0.5122057,0.302516056,0.26289016
Tmem194b,1.314691847,-0.640115222,0.091900666
Pms1,2.595981657,-1.320477654,0.100796249
Zfp52,0.675412607,0.025918584,0.953409457
Zfp59,0.491035058,0.344726833,0.540397386
Zfp60,0.569531511,0.196428247,0.585651835
Zfp61,2.298471661,-1.198757327,0.099719944
Ino80d,1.152425916,-0.508382133,0.265034159
Ndufs1,25.60927671,-3.609467578,0.370133612
Zfp62,0.629377992,0.096510341,0.678139298
Ccnyl1,9.893225859,-2.658363187,0.520698157
Zfp64,1.636025915,-0.858782999,0.035689423
Zbtb7b,1.789382146,-0.948383311,0.185172561
Ctdsp1,4.601259241,-1.892842935,0.052789397
Fam134a,2.901401911,-1.431706958,0.035371926
Gpr55,1.384326214,-0.691726454,0.126953831
B3gnt7,0.780174762,-0.11827559,0.284066237
Gigyf2,3.569443291,-1.638922563,0.084774269
Dgkd,3.190617041,-1.526727248,0.067537379
Usp40,8.600772485,-2.518364944,0.233723075
Farp2,2.568912313,-1.309995505,0.108634766
Ppip5k2,18.27262408,-3.271916909,0.420958612
