Gene,Halflife
ENSMUSG00000001829,0.011552453
ENSMUSG00000001833,0.011552453
ENSMUSG00000001844,0.011552453
ENSMUSG00000001847,0.011552453
ENSMUSG00000001870,0.011552453
ENSMUSG00000001891,0.011552453
ENSMUSG00000001909,0.011552453
ENSMUSG00000001910,0.011552453
ENSMUSG00000001911,0.011552453
ENSMUSG00000001918,0.011552453
ENSMUSG00000001924,0.011552453
ENSMUSG00000001942,0.011552453
ENSMUSG00000001943,0.011552453
ENSMUSG00000001946,0.011552453
ENSMUSG00000001948,0.011552453
ENSMUSG00000001964,0.011552453
ENSMUSG00000001983,0.011552453
ENSMUSG00000001986,0.011552453
ENSMUSG00000001988,0.011552453
ENSMUSG00000001995,0.011552453
ENSMUSG00000001998,0.011552453
ENSMUSG00000001999,0.011552453
ENSMUSG00000002010,0.011552453
ENSMUSG00000002014,0.011552453
ENSMUSG00000002015,0.011552453
ENSMUSG00000002017,0.011552453
ENSMUSG00000002020,0.011552453
ENSMUSG00000002028,0.011552453
ENSMUSG00000002031,0.011552453
ENSMUSG00000002032,0.011552453
ENSMUSG00000002043,0.011552453
ENSMUSG00000002052,0.011552453
ENSMUSG00000002055,0.011552453
ENSMUSG00000002057,0.011552453
ENSMUSG00000002058,0.011552453
ENSMUSG00000002059,0.011552453
ENSMUSG00000002064,0.011552453
ENSMUSG00000002068,0.011552453
ENSMUSG00000002076,0.011552453
ENSMUSG00000002083,0.011552453
ENSMUSG00000002100,0.011552453
ENSMUSG00000002102,0.011552453
ENSMUSG00000002103,0.011552453
ENSMUSG00000002104,0.011552453
ENSMUSG00000002105,0.011552453
